Commodity,Time,Customs Value (Gen) ($US)
902140 Hearing Aids,2002-01-01,"13,853,237"
902140 Hearing Aids,2002-02-01,"15,661,776"
902140 Hearing Aids,2002-03-01,"17,364,440"
902140 Hearing Aids,2002-04-01,"22,160,337"
902140 Hearing Aids,2002-05-01,"19,941,033"
902140 Hearing Aids,2002-06-01,"15,774,282"
902140 Hearing Aids,2002-07-01,"21,986,676"
902140 Hearing Aids,2002-08-01,"13,162,642"
902140 Hearing Aids,2002-09-01,"17,559,864"
902140 Hearing Aids,2002-10-01,"23,597,358"
902140 Hearing Aids,2002-11-01,"21,872,191"
902140 Hearing Aids,2002-12-01,"21,933,954"
902140 Hearing Aids,2003-01-01,"15,730,731"
902140 Hearing Aids,2003-02-01,"18,960,519"
902140 Hearing Aids,2003-03-01,"22,691,593"
902140 Hearing Aids,2003-04-01,"23,465,384"
902140 Hearing Aids,2003-05-01,"23,658,708"
902140 Hearing Aids,2003-06-01,"23,828,165"
902140 Hearing Aids,2003-07-01,"28,248,633"
902140 Hearing Aids,2003-08-01,"23,537,281"
902140 Hearing Aids,2003-09-01,"24,054,573"
902140 Hearing Aids,2003-10-01,"26,186,800"
902140 Hearing Aids,2003-11-01,"23,294,759"
902140 Hearing Aids,2003-12-01,"19,925,645"
902140 Hearing Aids,2004-01-01,"18,860,240"
902140 Hearing Aids,2004-02-01,"18,365,358"
902140 Hearing Aids,2004-03-01,"29,438,546"
902140 Hearing Aids,2004-04-01,"31,144,376"
902140 Hearing Aids,2004-05-01,"28,088,611"
902140 Hearing Aids,2004-06-01,"30,827,612"
902140 Hearing Aids,2004-07-01,"33,512,799"
902140 Hearing Aids,2004-08-01,"26,760,546"
902140 Hearing Aids,2004-09-01,"32,908,964"
902140 Hearing Aids,2004-10-01,"34,600,811"
902140 Hearing Aids,2004-11-01,"34,074,878"
902140 Hearing Aids,2004-12-01,"36,699,466"
902140 Hearing Aids,2005-01-01,"23,958,225"
902140 Hearing Aids,2005-02-01,"29,607,433"
902140 Hearing Aids,2005-03-01,"30,746,749"
902140 Hearing Aids,2005-04-01,"31,020,589"
902140 Hearing Aids,2005-05-01,"34,079,749"
902140 Hearing Aids,2005-06-01,"45,667,927"
902140 Hearing Aids,2005-07-01,"33,914,116"
902140 Hearing Aids,2005-08-01,"34,451,598"
902140 Hearing Aids,2005-09-01,"35,064,443"
902140 Hearing Aids,2005-10-01,"28,196,266"
902140 Hearing Aids,2005-11-01,"36,786,730"
902140 Hearing Aids,2005-12-01,"36,884,059"
902140 Hearing Aids,2006-01-01,"34,125,408"
902140 Hearing Aids,2006-02-01,"49,119,338"
902140 Hearing Aids,2006-03-01,"47,948,139"
902140 Hearing Aids,2006-04-01,"47,232,636"
902140 Hearing Aids,2006-05-01,"53,043,589"
902140 Hearing Aids,2006-06-01,"44,876,180"
902140 Hearing Aids,2006-07-01,"50,250,502"
902140 Hearing Aids,2006-08-01,"43,290,183"
902140 Hearing Aids,2006-09-01,"47,151,805"
902140 Hearing Aids,2006-10-01,"61,685,042"
902140 Hearing Aids,2006-11-01,"49,840,920"
902140 Hearing Aids,2006-12-01,"47,105,863"
902140 Hearing Aids,2007-01-01,"49,191,617"
902140 Hearing Aids,2007-02-01,"43,098,906"
902140 Hearing Aids,2007-03-01,"60,772,140"
902140 Hearing Aids,2007-04-01,"55,395,743"
902140 Hearing Aids,2007-05-01,"52,705,784"
902140 Hearing Aids,2007-06-01,"59,519,703"
902140 Hearing Aids,2007-07-01,"54,757,076"
902140 Hearing Aids,2007-08-01,"64,991,467"
902140 Hearing Aids,2007-09-01,"51,805,922"
902140 Hearing Aids,2007-10-01,"68,520,292"
902140 Hearing Aids,2007-11-01,"64,035,990"
902140 Hearing Aids,2007-12-01,"52,068,468"
902140 Hearing Aids,2008-01-01,"51,009,825"
902140 Hearing Aids,2008-02-01,"48,057,575"
902140 Hearing Aids,2008-03-01,"51,578,695"
902140 Hearing Aids,2008-04-01,"48,286,482"
902140 Hearing Aids,2008-05-01,"55,599,236"
902140 Hearing Aids,2008-06-01,"41,124,575"
902140 Hearing Aids,2008-07-01,"51,361,400"
902140 Hearing Aids,2008-08-01,"55,380,894"
902140 Hearing Aids,2008-09-01,"49,199,628"
902140 Hearing Aids,2008-10-01,"61,275,540"
902140 Hearing Aids,2008-11-01,"52,495,270"
902140 Hearing Aids,2008-12-01,"47,544,339"
902140 Hearing Aids,2009-01-01,"46,525,182"
902140 Hearing Aids,2009-02-01,"49,628,697"
902140 Hearing Aids,2009-03-01,"57,501,559"
902140 Hearing Aids,2009-04-01,"53,517,546"
902140 Hearing Aids,2009-05-01,"65,006,489"
902140 Hearing Aids,2009-06-01,"56,338,077"
902140 Hearing Aids,2009-07-01,"51,844,649"
902140 Hearing Aids,2009-08-01,"55,058,843"
902140 Hearing Aids,2009-09-01,"59,601,560"
902140 Hearing Aids,2009-10-01,"72,405,233"
902140 Hearing Aids,2009-11-01,"66,188,639"
902140 Hearing Aids,2009-12-01,"52,543,290"
902140 Hearing Aids,1905-07-02,"718,642,486"
902140 Hearing Aids,2010-01-01,"52,262,435"
902140 Hearing Aids,2010-02-01,"56,790,218"
902140 Hearing Aids,2010-03-01,"73,132,153"
902140 Hearing Aids,2010-04-01,"63,725,996"
902140 Hearing Aids,2010-05-01,"62,460,821"
902140 Hearing Aids,2010-06-01,"55,491,698"
902140 Hearing Aids,2010-07-01,"57,643,623"
902140 Hearing Aids,2010-08-01,"56,214,235"
902140 Hearing Aids,2010-09-01,"55,767,220"
902140 Hearing Aids,2010-10-01,"71,533,741"
902140 Hearing Aids,2010-11-01,"62,787,630"
902140 Hearing Aids,2010-12-01,"50,832,716"
902140 Hearing Aids,1905-07-03,"902,279,610"
902140 Hearing Aids,2011-01-01,"56,689,096"
902140 Hearing Aids,2011-02-01,"56,124,283"
902140 Hearing Aids,2011-03-01,"63,982,014"
902140 Hearing Aids,2011-04-01,"70,938,696"
902140 Hearing Aids,2011-05-01,"68,122,899"
902140 Hearing Aids,2011-06-01,"75,083,330"
902140 Hearing Aids,2011-07-01,"77,173,417"
902140 Hearing Aids,2011-08-01,"99,251,591"
902140 Hearing Aids,2011-09-01,"86,948,199"
902140 Hearing Aids,2011-10-01,"88,351,278"
902140 Hearing Aids,2011-11-01,"77,667,600"
902140 Hearing Aids,2011-12-01,"81,947,207"
902140 Hearing Aids,1905-07-04,"1,058,148,316"
902140 Hearing Aids,2012-01-01,"70,872,933"
902140 Hearing Aids,2012-02-01,"94,071,325"
902140 Hearing Aids,2012-03-01,"93,287,362"
902140 Hearing Aids,2012-04-01,"79,727,904"
902140 Hearing Aids,2012-05-01,"89,178,777"
902140 Hearing Aids,2012-06-01,"79,349,496"
902140 Hearing Aids,2012-07-01,"82,231,873"
902140 Hearing Aids,2012-08-01,"90,490,312"
902140 Hearing Aids,2012-09-01,"99,706,393"
902140 Hearing Aids,2012-10-01,"87,088,167"
902140 Hearing Aids,2012-11-01,"100,833,566"
902140 Hearing Aids,2012-12-01,"91,310,208"
902140 Hearing Aids,1905-07-05,"1,078,650,453"
902140 Hearing Aids,2013-01-01,"81,025,493"
902140 Hearing Aids,2013-02-01,"74,526,693"
902140 Hearing Aids,2013-03-01,"99,096,388"
902140 Hearing Aids,2013-04-01,"114,353,543"
902140 Hearing Aids,2013-05-01,"80,842,312"
902140 Hearing Aids,2013-06-01,"88,273,556"
902140 Hearing Aids,2013-07-01,"81,882,989"
902140 Hearing Aids,2013-08-01,"99,227,956"
902140 Hearing Aids,2013-09-01,"98,911,852"
902140 Hearing Aids,2013-10-01,"86,147,750"
902140 Hearing Aids,2013-11-01,"86,347,966"
902140 Hearing Aids,2013-12-01,"88,013,955"
902140 Hearing Aids,1905-07-06,"1,016,198,544"
902140 Hearing Aids,2014-01-01,"63,098,535"
902140 Hearing Aids,2014-02-01,"72,249,375"
902140 Hearing Aids,2014-03-01,"87,860,134"
902140 Hearing Aids,2014-04-01,"83,433,964"
902140 Hearing Aids,2014-05-01,"91,288,180"
902140 Hearing Aids,2014-06-01,"76,619,693"
902140 Hearing Aids,2014-07-01,"84,914,940"
902140 Hearing Aids,2014-08-01,"82,640,145"
902140 Hearing Aids,2014-09-01,"97,786,802"
902140 Hearing Aids,2014-10-01,"113,071,455"
902140 Hearing Aids,2014-11-01,"90,380,462"
902140 Hearing Aids,2014-12-01,"72,854,859"
902140 Hearing Aids,1905-07-07,"1,100,371,426"
902140 Hearing Aids,2015-01-01,"82,117,763"
902140 Hearing Aids,2015-02-01,"83,292,296"
902140 Hearing Aids,2015-03-01,"115,755,696"
902140 Hearing Aids,2015-04-01,"96,573,080"
902140 Hearing Aids,2015-05-01,"82,665,115"
902140 Hearing Aids,2015-06-01,"90,630,404"
902140 Hearing Aids,2015-07-01,"93,048,072"
902140 Hearing Aids,2015-08-01,"96,644,776"
902140 Hearing Aids,2015-09-01,"79,825,735"
902140 Hearing Aids,2015-10-01,"96,492,313"
902140 Hearing Aids,2015-11-01,"104,044,981"
902140 Hearing Aids,2015-12-01,"79,281,195"
902140 Hearing Aids,1905-07-08,"1,210,054,915"
902140 Hearing Aids,2016-01-01,"72,379,306"
902140 Hearing Aids,2016-02-01,"83,677,586"
902140 Hearing Aids,2016-03-01,"89,027,395"
902140 Hearing Aids,2016-04-01,"100,941,492"
902140 Hearing Aids,2016-05-01,"111,975,901"
902140 Hearing Aids,2016-06-01,"101,611,777"
902140 Hearing Aids,2016-07-01,"91,480,100"
902140 Hearing Aids,2016-08-01,"114,400,919"
902140 Hearing Aids,2016-09-01,"126,259,173"
902140 Hearing Aids,2016-10-01,"98,444,276"
902140 Hearing Aids,2016-11-01,"107,932,961"
902140 Hearing Aids,2016-12-01,"111,924,029"
902140 Hearing Aids,1905-07-09,"1,405,302,596"
902140 Hearing Aids,2017-01-01,"90,858,381"
902140 Hearing Aids,2017-02-01,"93,499,428"
902140 Hearing Aids,2017-03-01,"113,997,383"
902140 Hearing Aids,2017-04-01,"108,059,761"
902140 Hearing Aids,2017-05-01,"119,802,424"
902140 Hearing Aids,2017-06-01,"122,203,980"
902140 Hearing Aids,2017-07-01,"117,441,759"
902140 Hearing Aids,2017-08-01,"126,302,366"
902140 Hearing Aids,2017-09-01,"115,349,042"
902140 Hearing Aids,2017-10-01,"132,265,463"
902140 Hearing Aids,2017-11-01,"128,609,562"
902140 Hearing Aids,2017-12-01,"136,913,047"
902140 Hearing Aids,1905-07-10,"1,535,651,105"
902140 Hearing Aids,2018-01-01,"116,687,119"
902140 Hearing Aids,2018-02-01,"103,380,517"
902140 Hearing Aids,2018-03-01,"135,057,982"
902140 Hearing Aids,2018-04-01,"141,385,376"
902140 Hearing Aids,2018-05-01,"135,682,706"
902140 Hearing Aids,2018-06-01,"113,130,519"
902140 Hearing Aids,2018-07-01,"114,499,568"
902140 Hearing Aids,2018-08-01,"129,047,379"
902140 Hearing Aids,2018-09-01,"145,952,281"
902140 Hearing Aids,2018-10-01,"127,533,133"
902140 Hearing Aids,2018-11-01,"160,010,407"
902140 Hearing Aids,2018-12-01,"113,284,118"
902140 Hearing Aids,1905-07-11,"1,575,234,295"
902140 Hearing Aids,2019-01-01,"127,096,853"
902140 Hearing Aids,2019-02-01,"123,290,793"
902140 Hearing Aids,2019-03-01,"146,957,460"
902140 Hearing Aids,2019-04-01,"136,254,022"
902140 Hearing Aids,2019-05-01,"153,734,166"
902140 Hearing Aids,2019-06-01,"136,971,687"
902140 Hearing Aids,2019-07-01,"126,686,388"
902140 Hearing Aids,2019-08-01,"116,501,964"
902140 Hearing Aids,2019-09-01,"111,183,407"
902140 Hearing Aids,2019-10-01,"132,078,161"
902140 Hearing Aids,2019-11-01,"135,982,388"
902140 Hearing Aids,2019-12-01,"128,497,006"
902140 Hearing Aids,1905-07-12,"1,377,877,720"
902140 Hearing Aids,2020-01-01,"95,432,930"
902140 Hearing Aids,2020-02-01,"126,132,437"
902140 Hearing Aids,2020-03-01,"146,237,379"
902140 Hearing Aids,2020-04-01,"56,859,812"
902140 Hearing Aids,2020-05-01,"26,261,863"
902140 Hearing Aids,2020-06-01,"98,264,708"
902140 Hearing Aids,2020-07-01,"123,129,805"
902140 Hearing Aids,2020-08-01,"121,861,801"
902140 Hearing Aids,2020-09-01,"150,431,353"
902140 Hearing Aids,2020-10-01,"159,875,887"
902140 Hearing Aids,2020-11-01,"135,940,773"
902140 Hearing Aids,2020-12-01,"137,448,972"
902140 Hearing Aids,1905-07-13,"1,953,799,608"
902140 Hearing Aids,2021-01-01,"121,247,179"
902140 Hearing Aids,2021-02-01,"129,249,286"
902140 Hearing Aids,2021-03-01,"170,973,529"
902140 Hearing Aids,2021-04-01,"171,699,429"
902140 Hearing Aids,2021-05-01,"197,087,787"
902140 Hearing Aids,2021-06-01,"163,305,725"
902140 Hearing Aids,2021-07-01,"174,872,919"
902140 Hearing Aids,2021-08-01,"167,254,020"
902140 Hearing Aids,2021-09-01,"149,391,086"
902140 Hearing Aids,2021-10-01,"176,022,517"
902140 Hearing Aids,2021-11-01,"173,412,023"
902140 Hearing Aids,2021-12-01,"159,284,108"
902140 Hearing Aids,2022 through March,"451,545,936"
902140 Hearing Aids,2022-01-01,"122,736,830"
902140 Hearing Aids,2022-02-01,"148,938,008"
902140 Hearing Aids,2022-03-01,"179,871,098"